,Unnamed: 0,index,Link,Posting Date,Location,City,Neighbourhood (Dirty),Address,Pure Rent,Size,Date From,Date To,DataFrame Date,Deposit,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
2168,2168,10300229,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mariendorf.10300229.html,26.07.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,500.0,19,2023-08-02,2023-08-25,20230813,5000,0.0,26.31578947368421,26.07.2023-500.0-26.31578947368421 Berlin,Prenzlauer Berg,2023-08,Location not found: Prenzlauer Berg,Location not found: Prenzlauer Berg
2169,2169,8356276,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mitte.8356276.html,26.07.2023,"Berlin
                                                                    Friedrichshain",Berlin,                                                                   Friedrichshain,Muster Str. 1,600.0,32,2023-08-18,2023-10-01,20230813,5000,2.0,18.75,26.07.2023-600.0-18.75 Berlin,Friedrichshain,2023-10,Location not found: Friedrichshain,Location not found: Friedrichshain
2170,2170,10307956,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.10307956.html,26.07.2023,"Berlin
                                                                    Mariendorf",Berlin,                                                                   Mariendorf,Muster Str. 1,1000.0,20,2023-10-01,,20230813,5000,,50.0,26.07.2023-1000.0-50.0 Berlin,Mariendorf,,Location not found: Mariendorf,Location not found: Mariendorf
2171,2171,10010799,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wannsee.10010799.html,26.07.2023,"Berlin
                                                                    Mitte",Berlin,                                                                   Mitte,Muster Str. 1,990.0,20,2023-08-01,,20230813,5000,,49.5,26.07.2023-990.0-49.5 Berlin,Mitte,,Location not found: Mitte,Location not found: Mitte
2172,2172,10308628,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.10308628.html,26.07.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,325.0,15,2023-07-28,2023-08-15,20230813,5000,1.0,21.666666666666668,26.07.2023-325.0-21.666666666666668 Berlin,Schöneberg,2023-08,Location not found: Schöneberg,Location not found: Schöneberg
2173,2173,9169047,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichtenberg.9169047.html,26.07.2023,"Berlin
                                                                    Wannsee",Berlin,                                                                   Wannsee,Muster Str. 1,290.0,13,2023-08-15,,20230813,5000,,22.307692307692307,26.07.2023-290.0-22.307692307692307 Berlin,Wannsee,,Location not found: Wannsee,Location not found: Wannsee
2174,2174,10174563,www.wg-gesucht.de/wg-zimmer-in-Berlin-Maerkische-Allee--Marzahn.10174563.html,26.07.2023,"Berlin
                                                                    Charlottenburg-Wilmersdorf",Berlin,                                                                   Charlottenburg-Wilmersdorf,Muster Str. 1,380.0,13,2023-08-01,2023-09-15,20230813,5000,1.0,29.23076923076923,26.07.2023-380.0-29.23076923076923 Berlin,Charlottenburg,2023-09,Location not found: Charlottenburg,Location not found: Charlottenburg
2175,2175,10223985,www.wg-gesucht.de/wg-zimmer-in-Berlin-Maerkische-Allee.10223985.html,26.07.2023,"Berlin
                                                                    Lichtenberg",Berlin,                                                                   Lichtenberg,Muster Str. 1,250.0,22,2023-08-02,2023-08-14,20230813,5000,0.0,11.363636363636363,26.07.2023-250.0-11.363636363636363 Berlin,Lichtenberg,2023-08,Location not found: Lichtenberg,Location not found: Lichtenberg
2176,2176,10302659,www.wg-gesucht.de/wg-zimmer-in-Berlin-Berlin.10302659.html,26.07.2023,"Berlin
                                                                    Märkische Allee - Marzahn",Berlin,                                                                   Märkische Allee - Marzahn,Muster Str. 1,750.0,30,2023-07-26,,20230813,5000,,25.0,26.07.2023-750.0-25.0 Berlin,Marzahn,,Location not found: Marzahn,Location not found: Marzahn
2177,2177,3340802,www.wg-gesucht.de/wg-zimmer-in-Berlin-Rummelsburg.3340802.html,26.07.2023,"Berlin
                                                                    Märkische Allee",Berlin,                                                                   Märkische Allee,Muster Str. 1,450.0,12,2023-08-01,2023-09-30,20230813,5000,1.0,37.5,26.07.2023-450.0-37.5 Berlin,Berlin,2023-09,Location not found: Berlin,Location not found: Berlin
2178,2178,10294135,www.wg-gesucht.de/wg-zimmer-in-Berlin-Karlshorst.10294135.html,25.07.2023,"Berlin
                                                                    Berlin",Berlin,                                                                   Berlin,Muster Str. 1,1000.0,33,2023-08-05,2023-09-26,20230813,5000,1.0,30.303030303030305,25.07.2023-1000.0-30.303030303030305 Berlin,Berlin,2023-09,Location not found: Berlin,Location not found: Berlin
2179,2179,10068763,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.10068763.html,25.07.2023,"Berlin
                                                                    Rummelsburg",Berlin,                                                                   Rummelsburg,Muster Str. 1,680.0,30,2023-07-25,2023-09-16,20230813,5000,2.0,22.666666666666668,25.07.2023-680.0-22.666666666666668 Berlin,Rummelsburg,2023-09,Location not found: Rummelsburg,Location not found: Rummelsburg
2180,2180,10307663,www.wg-gesucht.de/wg-zimmer-in-Berlin-Gesundbrunnen.10307663.html,13.08.2023,Zimmer von HousingAnywhere*,Zimmervon HousingAnywhere*,Zimmervon HousingAnywhere*,Muster Str. 1,450.0,17,2023-08-14,,20230813,5000,,26.470588235294116,13.08.2023-450.0-26.470588235294116 Zimmervon HousingAnywhere*,Berlin,,Location not found: Berlin,Location not found: Berlin
2181,2181,10225835,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.10225835.html,13.08.2023,Zimmer von Spotahome*,Zimmervon Spotahome*,Zimmervon Spotahome*,Muster Str. 1,420.0,18,2023-08-14,,20230813,5000,,23.333333333333332,13.08.2023-420.0-23.333333333333332 Zimmervon Spotahome*,Berlin,,Location not found: Berlin,Location not found: Berlin
2182,2182,9407917,www.wg-gesucht.de/wg-zimmer-in-Berlin-Siemensstadt.9407917.html,25.07.2023,"Berlin
                                                                    Gesundbrunnen",Berlin,                                                                   Gesundbrunnen,Muster Str. 1,600.0,22,2023-09-01,2024-04-01,20230813,5000,7.0,27.272727272727273,25.07.2023-600.0-27.272727272727273 Berlin,Gesundbrunnen,2024-04,Location not found: Gesundbrunnen,Location not found: Gesundbrunnen
2183,2183,10307066,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichtenberg.10307066.html,25.07.2023,"Berlin
                                                                    Neukölln",Berlin,                                                                   Neukölln,Muster Str. 1,20.0,22,2023-08-04,2023-08-14,20230813,5000,0.0,0.9090909090909091,25.07.2023-20.0-0.9090909090909091 Berlin,Neukölln,2023-08,Location not found: Neukölln,Location not found: Neukölln
2184,2184,8985351,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneweide.8985351.html,25.07.2023,"Berlin
                                                                    Siemensstadt",Berlin,                                                                   Siemensstadt,Muster Str. 1,250.0,15,2023-07-25,2023-07-31,20230813,5000,0.0,16.666666666666668,25.07.2023-250.0-16.666666666666668 Berlin,Siemensstadt,2023-07,Location not found: Siemensstadt,Location not found: Siemensstadt
2185,2185,9303522,www.wg-gesucht.de/wg-zimmer-in-Berlin-Treptow.9303522.html,25.07.2023,"Berlin
                                                                    Lichtenberg",Berlin,                                                                   Lichtenberg,Muster Str. 1,800.0,20,2023-08-01,2023-09-30,20230813,5000,1.0,40.0,25.07.2023-800.0-40.0 Berlin,Lichtenberg,2023-09,Location not found: Lichtenberg,Location not found: Lichtenberg
2186,2186,10306958,www.wg-gesucht.de/wg-zimmer-in-Berlin-Moabit.10306958.html,25.07.2023,"Berlin
                                                                    Schöneweide",Berlin,                                                                   Schöneweide,Muster Str. 1,435.0,20,2023-08-15,2023-10-06,20230813,5000,2.0,21.75,25.07.2023-435.0-21.75 Berlin,Schöneweide,2023-10,Location not found: Schöneweide,Location not found: Schöneweide
2187,2187,10306961,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.10306961.html,25.07.2023,"Berlin
                                                                    Treptow",Berlin,                                                                   Treptow,Muster Str. 1,550.0,15,2023-10-01,2023-10-31,20230813,5000,0.0,36.666666666666664,25.07.2023-550.0-36.666666666666664 Berlin,Treptow,2023-10,Location not found: Treptow,Location not found: Treptow
