Posting Date,Pure Rent,Size,Date From,Date To,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
12.04.2023,2200,125,2023-05-01,2023-07-31,2,17.6,12.04.2023-2200.0-17.6 Berlin  Pankow,Pankow,2023-07,52.5979174,13.435316
12.04.2023,2000,74,2023-07-01,,,27.02702703,12.04.2023-2000.0-27.027027027027028 Berlin  Reinickendorf,Reinickendorf,,52.6047631,13.2952872
12.04.2023,1685,50,2023-10-15,2025-09-30,23,33.7,12.04.2023-1685.0-33.7 Berlin  Prenzlauer Berg,Prenzlauer Berg,2025-09,52.5398466,13.4285652
12.04.2023,1500,50,2023-04-14,,,30,12.04.2023-1500.0-30.0 Berlin  Mitte,Mitte,,52.5178855,13.4040601
12.04.2023,80,30,2023-04-12,2023-05-01,1,2.666666667,12.04.2023-80.0-2.6666666666666665 Berlin  Friedrichshain-Kreuzberg,Friedrichshain,2023-05,52.5122154,13.4502904
12.04.2023,1385,77,2023-04-15,,,17.98701299,12.04.2023-1385.0-17.98701298701299 Berlin  Charlottenburg,Charlottenburg,,52.515747,13.3096834
12.04.2023,1450,45,2023-04-18,2024-03-31,11,32.22222222,12.04.2023-1450.0-32.22222222222222 Berlin  Charlottenburg,Charlottenburg,2024-03,52.515747,13.3096834
12.04.2023,200,56,2023-04-16,2023-04-21,0,3.571428571,12.04.2023-200.0-3.5714285714285716 Berlin  Tempelhof,Tempelhof,2023-04,52.4632921,13.3864477
12.04.2023,700,63,2023-04-15,2023-05-05,1,11.11111111,12.04.2023-700.0-11.11111111111111 Berlin,Berlin,2023-05,52.5170365,13.3888599
12.04.2023,720,35,2023-05-11,2023-06-08,1,20.57142857,12.04.2023-720.0-20.571428571428573 Berlin  Kreuzberg,Kreuzberg,2023-06,52.4976443,13.411914
12.04.2023,150,28,2023-04-14,2023-04-20,0,5.357142857,12.04.2023-150.0-5.357142857142857 Berlin  Lichtenberg,Lichtenberg,2023-04,48.9212959,7.4812268
12.04.2023,550,47,2023-04-21,2023-05-07,1,11.70212766,12.04.2023-550.0-11.702127659574469 Berlin  Friedrichshain,Friedrichshain,2023-05,52.5122154,13.4502904
12.04.2023,750,30,2023-04-13,,,25,12.04.2023-750.0-25.0 Wohnungen von HousingAnywhere*,Berlin,,52.5170365,13.3888599
12.04.2023,700,35,2023-04-13,,,20,12.04.2023-700.0-20.0 Wohnungen von Spotahome*,Berlin,,52.5170365,13.3888599
12.04.2023,800,40,2023-05-04,2023-07-15,2,20,12.04.2023-800.0-20.0 Berlin  Neukölln,Neukölln,2023-07,52.4811497,13.4353501
12.04.2023,1000,45,2023-05-05,2023-06-04,1,22.22222222,12.04.2023-1000.0-22.22222222222222 Berlin  Neukölln,Neukölln,2023-06,52.4811497,13.4353501
12.04.2023,1290,28,2023-04-12,,,46.07142857,12.04.2023-1290.0-46.07142857142857 Berlin  Prenzlauer Berg,Prenzlauer Berg,,52.5398466,13.4285652
12.04.2023,1200,38,2023-04-29,2023-05-31,1,31.57894737,12.04.2023-1200.0-31.57894736842105 Berlin  Moabit,Moabit,2023-05,52.5301017,13.3425422
12.04.2023,1000,50,2023-05-01,2023-06-02,1,20,12.04.2023-1000.0-20.0 Berlin,Berlin,2023-06,52.5170365,13.3888599
12.04.2023,850,49,2023-04-18,2023-05-12,1,17.34693878,12.04.2023-850.0-17.346938775510203 Berlin  Mitte,Mitte,2023-05,52.5178855,13.4040601
12.04.2023,850,49,2023-04-18,2023-05-12,1,17.34693878,12.04.2023-850.0-17.346938775510203 Berlin  Mitte,Mitte,2023-05,52.5178855,13.4040601
12.04.2023,40,40,2023-05-01,2023-05-14,0,1,12.04.2023-40.0-1.0 Berlin  Friedrichshain,Friedrichshain,2023-05,52.5122154,13.4502904
12.04.2023,1670,65,2023-07-01,2023-10-01,3,25.69230769,12.04.2023-1670.0-25.692307692307693 Berlin  Schöneberg,Schöneberg,2023-10,52.482157,13.3551901
12.04.2023,750,60,2023-05-01,2023-06-01,1,12.5,12.04.2023-750.0-12.5 Berlin  Wedding,Wedding,2023-06,52.550123,13.34197
12.04.2023,960,60,2023-04-15,2023-07-15,3,16,12.04.2023-960.0-16.0 Berlin  Friedrichshain,Friedrichshain,2023-07,52.5122154,13.4502904
12.04.2023,625,65,2023-05-13,2023-05-27,0,9.615384615,12.04.2023-625.0-9.615384615384615 Berlin  Pankow,Pankow,2023-05,52.5979174,13.435316
12.04.2023,380,25,2022-12-31,2023-01-20,1,15.2,12.04.2023-380.0-15.2 Berlin,Berlin,2023-01,52.5170365,13.3888599
12.04.2023,1200,52,2023-05-05,,,23.07692308,12.04.2023-1200.0-23.076923076923077 Berlin  Spandau,Spandau,,52.535788,13.1977924
12.04.2023,840,17,2023-09-01,,,49.41176471,12.04.2023-840.0-49.411764705882355 Berlin  Mitte,Mitte,,52.5178855,13.4040601
12.04.2023,1200,60,2023-05-01,2023-06-10,1,20,12.04.2023-1200.0-20.0 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-06,52.5398466,13.4285652
12.04.2023,1600,55,2023-04-21,2023-07-12,3,29.09090909,12.04.2023-1600.0-29.09090909090909 Berlin  Neukölln,Neukölln,2023-07,52.4811497,13.4353501
12.04.2023,1000,39,2023-05-01,2023-06-01,1,25.64102564,12.04.2023-1000.0-25.641025641025642 Berlin  Friedrischain,Friedrichshain,2023-06,52.5122154,13.4502904
12.04.2023,830,36,2023-05-01,2023-08-31,3,23.05555556,12.04.2023-830.0-23.055555555555557 Berlin  Wilmersdorf,Wilmersdorf,2023-08,52.4871152,13.3203298
12.04.2023,703,30,2023-06-01,,,23.43333333,12.04.2023-703.0-23.433333333333334 Berlin  Weißensee,Weißensee,,52.5546193,13.4630018
12.04.2023,800,50,2023-04-13,,,16,12.04.2023-800.0-16.0 Wohnungen von HousingAnywhere*,Berlin,,52.5170365,13.3888599
12.04.2023,760,50,2023-04-13,,,15.2,12.04.2023-760.0-15.2 Wohnungen von Spotahome*,Berlin,,52.5170365,13.3888599
12.04.2023,550,60,2023-07-14,2023-08-03,1,9.166666667,12.04.2023-550.0-9.166666666666666 Berlin  Neukölln,Neukölln,2023-08,52.4811497,13.4353501
12.04.2023,35,98,2023-05-16,2023-05-21,0,0.3571428571,12.04.2023-35.0-0.35714285714285715 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
12.04.2023,750,40,2023-04-19,2023-07-01,3,18.75,12.04.2023-750.0-18.75 Berlin  Moabit,Moabit,2023-07,52.5301017,13.3425422
