,index,Link,Posting Date,Location,City,Neighbourhood (Dirty),Address,Price,Pure rent,Service Charge,Other Charge,Size,Date From,Date To,DataFrame,Deposit
467,10123026,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.10123026.html,30.05.2023,"Berlin
                                                                    Niederschönhausen",Berlin,                                                                   Niederschönhausen,Muster Str. 1,380€,5000,5000,5000,8m²,10.07.2023,10.10.2023,20230424,5000
468,7456446,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.7456446.html,30.05.2023,"Berlin
                                                                    Reinickendorf",Berlin,                                                                   Reinickendorf,Muster Str. 1,470€,5000,5000,5000,20m²,15.06.2023,30.09.2023,20230424,5000
469,5793900,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.5793900.html,30.05.2023,"Berlin
                                                                    Friedrichshain",Berlin,                                                                   Friedrichshain,Muster Str. 1,300€,5000,5000,5000,n.a.,05.06.2023,20.06.2023,20230424,5000
470,4506884,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg.4506884.html,30.05.2023,"Berlin
                                                                    Friedrichshain",Berlin,                                                                   Friedrichshain,Muster Str. 1,956€,5000,5000,5000,18m²,01.08.2023,,20230424,5000
471,9874720,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9874720.html,30.05.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,670€,5000,5000,5000,14m²,04.06.2023,,20230424,5000
472,9972235,www.wg-gesucht.de/wg-zimmer-in-Berlin-Bergmannkiez.9972235.html,30.05.2023,"Berlin
                                                                    Charlottenburg",Berlin,                                                                   Charlottenburg,Muster Str. 1,650€,5000,5000,5000,27m²,01.06.2023,,20230424,5000
473,10124120,www.wg-gesucht.de/wg-zimmer-in-Berlin-Zehlendorf.10124120.html,30.05.2023,"Berlin
                                                                    Neukölln",Berlin,                                                                   Neukölln,Muster Str. 1,700€,5000,5000,5000,17m²,01.06.2023,01.09.2023,20230424,5000
474,10124104,www.wg-gesucht.de/wg-zimmer-in-Berlin-Britz.10124104.html,30.05.2023,"Berlin
                                                                    Bergmannkiez",Berlin,                                                                   Bergmannkiez,Muster Str. 1,550€,5000,5000,5000,12m²,03.06.2023,18.06.2023,20230424,5000
475,7177640,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichtenberg.7177640.html,30.05.2023,"Berlin
                                                                    Zehlendorf",Berlin,                                                                   Zehlendorf,Muster Str. 1,450€,5000,5000,5000,10m²,15.08.2023,15.10.2023,20230424,5000
476,6155190,www.wg-gesucht.de/wg-zimmer-in-Berlin-Willmersdorf.6155190.html,30.05.2023,"Berlin
                                                                    Britz",Berlin,                                                                   Britz,Muster Str. 1,650€,5000,5000,5000,17m²,01.09.2023,,20230424,5000
477,8955396,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.8955396.html,30.05.2023,"Berlin
                                                                    Lichtenberg",Berlin,                                                                   Lichtenberg,Muster Str. 1,150€,5000,5000,5000,16m²,19.03.2019,14.04.2019,20230424,5000
478,5924247,www.wg-gesucht.de/wg-zimmer-in-Berlin-Halensee.5924247.html,30.05.2023,"Berlin
                                                                    Willmersdorf",Berlin,                                                                   Willmersdorf,Muster Str. 1,750€,5000,5000,5000,15m²,01.09.2023,01.09.2026,20230424,5000
479,9345890,www.wg-gesucht.de/wg-zimmer-in-Berlin-Berlin-Buckow-Britz.9345890.html,30.05.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,950€,5000,5000,5000,14m²,01.06.2023,31.07.2023,20230424,5000
