,Unnamed: 0,Rubrik,Eintrag,Miete,Größe,Stadtteil,frei ab,frei bis,Unnamed: 8,Lease term,EUR / SQM
8,,3.0,16.02.2023,900.0,80.0,Berlin  Mitte,2023-05-01,2023-06-30,,1.0,11.25
9,,2.0,16.02.2023,952.0,39.0,Berlin  Zehlendorf,2023-04-30,2023-06-15,,2.0,24.41025641025641
10,,3.0,15.02.2023,1400.0,100.0,Berlin  Kreuzberg,2023-04-05,2023-05-05,,1.0,14.0
11,,3.0,15.02.2023,2000.0,100.0,Berlin,2023-09-01,2023-11-30,,2.0,20.0
12,,3.0,14.02.2023,50.0,72.0,Berlin  Mitte,2023-03-06,2023-03-26,,0.0,0.6944444444444444
13,,3.0,14.02.2023,1950.0,91.0,Berlin  Schöneberg,2023-04-06,2024-04-06,,12.0,21.428571428571427
14,,,13.02.2023,25.0,45.0,Berlin  Neukölln,2023-03-01,2023-03-26,,0.0,0.5555555555555556
15,,15.0,13.02.2023,55.0,40.0,Berlin  Berlin,2023-02-16,2023-02-27,,0.0,1.375
16,,2.0,12.02.2023,1050.0,67.0,Berlin  Kreuzberg,2023-01-11,2023-02-02,,1.0,15.671641791044776
17,,3.0,12.02.2023,1500.0,72.0,Berlin  Lichterfelde,2023-07-23,2023-10-23,,3.0,20.833333333333332
18,,2.0,12.02.2023,3600.0,68.0,Berlin  Mariendorf,2023-04-15,2024-04-01,,12.0,52.94117647058823
19,,2.0,12.02.2023,1900.0,57.0,Berlin  Schillerkiez,2023-06-01,2025-01-31,,19.0,33.333333333333336
20,,2.0,11.02.2023,498.0,48.0,Berlin  Neukölln,2023-01-08,,,,10.375
21,,2.0,11.02.2023,1050.0,42.0,Berlin  Charlottenburg,2023-05-01,2023-07-29,,2.0,25.0
22,,,,,,,,,,,
0,,,22.04.2023,500.0,30.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,16.666666666666668
1,,,22.04.2023,450.0,50.0,Wohnungen von Spotahome*,2023-04-23,,,,9.0
2,,2.0,11.02.2023,1050.0,42.0,Berlin  Charlottenburg,2023-05-01,2023-07-29,,2.0,25.0
3,,2.0,11.02.2023,45.0,65.0,Berlin  Wilmersdorf,2023-02-14,2023-02-22,,0.0,0.6923076923076923
4,,,10.02.2023,70.0,50.0,Berlin  Tempelhof-Schöneberg,2023-03-01,2023-04-10,,1.0,1.4
5,,2.0,10.02.2023,190.0,75.0,Berlin  Friedrichshain,2023-02-13,2023-06-01,,4.0,2.533333333333333
6,,25.0,09.02.2023,80.0,60.0,Berlin  Friedrichshain,2023-02-09,2023-12-31,,10.0,1.3333333333333333
7,,3.0,09.02.2023,2450.0,95.0,Berlin  Steglitz-Zehlendorf,2023-06-09,2023-08-31,,2.0,25.789473684210527
8,,2.0,08.02.2023,100.0,90.0,Berlin  Kreuzberg,2023-02-08,2023-03-26,,1.0,1.1111111111111112
9,,2.0,08.02.2023,50.0,57.0,Berlin  Neukölln,2023-02-22,2023-03-06,,1.0,0.8771929824561403
10,,,06.02.2023,700.0,45.0,Berlin  Prenzlauer Berg,2015-05-26,2015-06-08,,1.0,15.555555555555555
11,,3.0,05.02.2023,30.0,72.0,Berlin  Friedrichshain,2023-02-21,2023-03-02,,1.0,0.4166666666666667
12,,2.0,03.02.2023,1200.0,50.0,Berlin  Berlin,2022-10-05,2022-11-25,,1.0,24.0
13,,2.0,03.02.2023,80.0,60.0,Berlin  Berlin,2023-02-09,2023-02-12,,0.0,1.3333333333333333
14,,2.0,03.02.2023,900.0,65.0,Berlin  Kreuzberg,2023-02-08,2023-03-08,,1.0,13.846153846153847
15,,2.0,03.02.2023,600.0,60.0,Berlin  Pankow,2022-12-14,2023-01-11,,1.0,10.0
16,,2.0,03.02.2023,60.0,54.0,Berlin  Charlottenburg,2023-01-13,2023-02-28,,1.0,1.1111111111111112
17,,3.0,01.02.2023,150.0,103.0,Berlin  Prenzlauer Berg,2023-02-03,2023-02-18,,0.0,1.4563106796116505
18,,2.0,01.02.2023,1250.0,70.0,Berlin  Prenzlauer Berg,2022-12-08,2023-03-01,,3.0,17.857142857142858
19,,3.0,31.01.2023,1400.0,85.0,Berlin  Berlin,2023-04-02,2023-04-24,,0.0,16.470588235294116
20,,2.0,31.01.2023,70.0,47.0,Berlin  Kreuzberg,2023-03-06,2023-03-10,,0.0,1.4893617021276595
21,,,29.01.2023,950.0,55.0,Berlin  Kreuzberg,2023-01-04,2023-02-08,,1.0,17.272727272727273
22,,,,,,,,,,,
0,,,22.04.2023,680.0,35.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,19.428571428571427
1,,,22.04.2023,640.0,40.0,Wohnungen von Spotahome*,2023-04-23,,,,16.0
2,,,28.01.2023,655.0,38.0,Berlin  Neukölln,2023-06-01,,,,17.236842105263158
3,,1.0,26.01.2023,750.0,33.0,Berlin  Alt-Hohenschönhausen,2023-02-01,2023-03-01,,1.0,22.727272727272727
4,,,26.01.2023,690.0,35.0,Berlin  Kreuzberg,2023-01-04,2023-03-30,,2.0,19.714285714285715
5,,2.0,25.01.2023,1050.0,50.0,Berlin  Kreuzberg,2023-02-01,2023-03-01,,1.0,21.0
6,,2.0,24.01.2023,980.0,72.0,Berlin  Friedrichshain,2022-11-01,,,,13.61111111111111
7,,,24.01.2023,35.0,35.0,Berlin  Kreuzberg,2023-01-26,2023-02-08,,1.0,1.0
8,,,24.01.2023,1350.0,34.0,Berlin  Friedrichshain,2023-05-01,2023-12-31,,7.0,39.705882352941174
9,,2.0,24.01.2023,850.0,58.0,Berlin  Tempelhof,2021-10-27,2022-04-27,,6.0,14.655172413793103
10,,2.0,24.01.2023,1200.0,65.0,Berlin  Charlottenburg,2022-01-01,2022-03-31,,2.0,18.46153846153846
11,,2.0,24.01.2023,1000.0,55.0,Berlin  Friedrichshain,2023-05-01,,,,18.181818181818183
12,,,23.01.2023,700.0,29.0,Berlin  Kreuzberg,2023-04-30,,,,24.137931034482758
13,,3.0,23.01.2023,85.0,40.0,Berlin  Neukölln,2023-01-26,2023-02-07,,1.0,2.125
14,,2.0,23.01.2023,900.0,65.0,Berlin  Rummelsburg,2023-02-11,2023-03-13,,1.0,13.846153846153847
15,,2.0,23.01.2023,750.0,57.0,Berlin  Charlottenburg-Wilmersdorf,2023-06-01,,,,13.157894736842104
16,,,20.01.2023,1203.0,45.0,Berlin,2023-05-01,2024-06-30,,13.0,26.733333333333334
17,,3.0,18.01.2023,1600.0,65.0,Berlin  Zehlendorf,2023-06-04,2023-09-04,,3.0,24.615384615384617
18,,2.0,18.01.2023,350.0,55.0,Berlin  Berlin,2022-12-23,2023-02-16,,2.0,6.363636363636363
19,,2.0,18.01.2023,45.0,55.0,Berlin  Friedrichshain,2023-01-21,2023-01-31,,0.0,0.8181818181818182
20,,2.0,18.01.2023,60.0,43.0,Berlin  Prenzlauer Berg,2023-01-20,2023-02-04,,1.0,1.3953488372093024
