,Unnamed: 0,Rubrik,Eintrag,Miete,Größe,Stadtteil,frei ab,frei bis,Unnamed: 8,Lease term,EUR / SQM
16,,,24.10.2022,30.0,38.0,Berlin  Wedding,2022-10-25,2022-11-05,,1.0,0.7894736842105263
17,,3.0,22.10.2022,1010.0,90.0,Berlin  Kreuzberg,2022-10-22,,,,11.222222222222221
18,,2.0,22.10.2022,159.0,55.0,Berlin  Neukölln,2022-11-14,2022-11-19,,0.0,2.890909090909091
19,,3.0,19.10.2022,750.0,88.0,Berlin  Friedrichshain,2022-10-22,2022-11-03,,1.0,8.522727272727273
20,,,18.10.2022,408.0,41.0,Berlin  Treptow,2022-07-13,,,,9.951219512195122
21,,,18.10.2022,800.0,20.0,Berlin  Prenzlauer Berg,2023-05-01,2023-12-30,,7.0,40.0
22,,,,,,,,,,,
0,,,22.04.2023,660.0,40.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,16.5
1,,,22.04.2023,590.0,35.0,Wohnungen von Spotahome*,2023-04-23,,,,16.857142857142858
2,,3.0,17.10.2022,640.0,101.0,Berlin  Wedding,2022-10-21,2022-10-29,,0.0,6.336633663366337
3,,2.0,16.10.2022,1400.0,87.0,Berlin  Neukölln,2022-10-21,2022-11-23,,1.0,16.091954022988507
4,,4.0,16.10.2022,500.0,100.0,Berlin  Neukölln,2022-10-23,2022-10-31,,0.0,5.0
5,,2.0,14.10.2022,1800.0,58.0,Berlin  Neu-Hohenschönhausen,2022-10-22,2022-10-25,,0.0,31.03448275862069
6,,3.0,13.10.2022,90.0,65.0,Berlin  Moabit,2022-10-20,2022-11-01,,1.0,1.3846153846153846
7,,2.0,13.10.2022,75.0,71.0,Berlin  Schillerkiez,2022-10-21,2022-10-30,,0.0,1.056338028169014
8,,1.0,11.10.2022,1460.0,55.0,Berlin  Friedrichshain,2022-10-14,2022-12-01,,2.0,26.545454545454547
9,,2.0,11.10.2022,1500.0,75.0,Berlin  Neukölln,2022-10-21,2023-01-28,,3.0,20.0
10,,,10.10.2022,800.0,30.0,Berlin  Pankow,2022-08-12,2022-09-17,,1.0,26.666666666666668
11,,,09.10.2022,995.0,25.0,Berlin  Schöneberg,2023-10-01,2024-09-30,,11.0,39.8
12,,2.0,26.09.2022,1500.0,60.0,Berlin  Mitte,2023-09-01,2023-11-30,,2.0,25.0
13,,1.0,25.09.2022,940.0,17.0,Berlin  Wilmersdorf,2023-10-01,2025-02-01,,16.0,55.294117647058826
14,,,25.09.2022,800.0,28.0,Berlin  Kreuzberg,2022-08-13,2022-10-31,,2.0,28.571428571428573
15,,,23.09.2022,75.0,50.0,Berlin  Prenzlauer Berg,2022-10-17,2022-10-24,,0.0,1.5
16,,2.0,22.09.2022,95.0,45.0,Berlin  Prenzlauer Berg,2022-11-13,2022-12-14,,1.0,2.111111111111111
17,,,20.09.2022,590.0,26.0,Berlin  Schmargendorf,2022-09-20,2023-01-31,,4.0,22.692307692307693
18,,3.0,18.09.2022,70.0,71.0,Berlin  Tiergarten,2022-10-15,2022-10-23,,0.0,0.9859154929577465
19,,2.0,17.09.2022,800.0,65.0,Berlin  Schöneberg,2022-09-19,2022-10-05,,1.0,12.307692307692308
20,,2.0,16.09.2022,1100.0,80.0,Berlin  Berlin,2022-01-01,2023-05-01,,16.0,13.75
21,,3.0,15.09.2022,90.0,75.0,Berlin  Oberschöneweide,2022-10-04,2022-10-14,,0.0,1.2
22,,,,,,,,,,,
0,,,22.04.2023,570.0,40.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,14.25
1,,,22.04.2023,550.0,45.0,Wohnungen von Spotahome*,2023-04-23,,,,12.222222222222221
2,,2.0,13.09.2022,75.0,60.0,Berlin  Neukölln,2022-10-06,2022-10-13,,0.0,1.25
3,,,11.09.2022,1350.0,21.0,Berlin  Wilhelmshagen,2022-09-11,,,,64.28571428571429
4,,,11.09.2022,200.0,50.0,Berlin  Prenzlauer Berg,2022-09-19,2022-09-23,,0.0,4.0
5,,,10.09.2022,1200.0,58.0,Berlin  MITTE,2022-09-19,2023-02-28,,5.0,20.689655172413794
6,,25.0,09.09.2022,1280.0,72.0,Berlin  Wedding,2022-09-08,2023-05-01,,8.0,17.77777777777778
7,,2.0,09.09.2022,300.0,70.0,Berlin  Steglitz,2022-09-20,2022-09-30,,0.0,4.285714285714286
8,,2.0,08.09.2022,645.0,70.0,Berlin  Neukölln,2022-09-08,,,,9.214285714285714
9,,3.0,07.09.2022,1200.0,79.0,Berlin  Kreuzberg,2022-09-08,2022-11-30,,2.0,15.189873417721518
10,,25.0,05.09.2022,845.0,45.0,Berlin  Weißensee,2022-09-12,2022-11-01,,2.0,18.77777777777778
11,,,02.09.2022,68.0,55.0,Berlin  Prenzlauer Berg,2022-09-23,2022-09-25,,0.0,1.2363636363636363
12,,,02.09.2022,900.0,42.0,Berlin  Wedding,2022-09-10,2022-10-10,,1.0,21.428571428571427
13,,,02.09.2022,55.0,45.0,Berlin  Moabit,2022-09-03,2022-09-08,,0.0,1.2222222222222223
14,,25.0,30.08.2022,2300.0,84.0,Berlin  Weißensee,2022-09-08,2022-10-10,,1.0,27.38095238095238
15,,2.0,30.08.2022,1200.0,64.0,Berlin  Mitte,2022-09-07,2022-10-07,,1.0,18.75
16,,2.0,30.08.2022,79.0,72.0,Berlin  Neukölln,2022-09-02,2022-09-08,,0.0,1.0972222222222223
17,,,29.08.2022,300.0,31.0,Berlin  Neukölln,2022-09-08,2022-09-21,,0.0,9.67741935483871
18,,2.0,28.08.2022,100.0,70.0,Berlin  Neukölln,2022-09-04,2022-09-08,,0.0,1.4285714285714286
19,,3.0,27.08.2022,50.0,87.0,Berlin  Neukölln,2022-09-08,2022-09-14,,0.0,0.5747126436781609
20,,,26.08.2022,50.0,20.0,Berlin  Kreuzberg,2022-08-31,2022-09-30,,1.0,2.5
21,,2.0,26.08.2022,940.0,65.0,Berlin  Prenzlauer Berg,2022-09-12,2022-10-02,,1.0,14.461538461538462
22,,,,,,,,,,,
0,,,22.04.2023,390.0,45.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,8.666666666666666
1,,,22.04.2023,370.0,50.0,Wohnungen von Spotahome*,2023-04-23,,,,7.4
2,,1.0,26.08.2022,700.0,40.0,Berlin  Friedrichshain,2022-09-08,2022-10-15,,1.0,17.5
3,,3.0,25.08.2022,960.0,100.0,Berlin  Neukölln,2022-09-11,2022-09-18,,0.0,9.6
4,,2.0,21.08.2022,80.0,55.0,Berlin  Weißensee,2022-12-10,2023-01-08,,1.0,1.4545454545454546
5,,15.0,21.08.2022,50.0,47.0,Berlin  Tempelhof,2022-09-18,2022-09-22,,0.0,1.0638297872340425
6,,2.0,18.08.2022,1400.0,70.0,Berlin  Köpenick,2022-09-12,2022-11-12,,2.0,20.0
7,,1.0,17.08.2022,600.0,23.0,Berlin  Eberswalder Stra?e,2022-09-01,2022-10-01,,1.0,26.08695652173913
8,,2.0,15.08.2022,1150.0,75.0,Berlin  Neukölln,2022-09-08,2022-10-20,,1.0,15.333333333333334
9,,2.0,12.08.2022,75.0,64.0,Berlin  Prenzlauer Berg,2022-06-03,2022-06-27,,0.0,1.171875
10,,2.0,12.08.2022,950.0,65.0,Berlin  Treptow,2022-09-07,2022-10-07,,1.0,14.615384615384615
11,,2.0,11.08.2022,79.0,72.0,Berlin  Neukölln Schillerkiez,2022-08-16,2022-08-23,,0.0,1.0972222222222223
12,,3.0,10.08.2022,70.0,85.0,Berlin  Friedrichshain,2022-08-12,2022-08-21,,0.0,0.8235294117647058
13,,2.0,08.08.2022,1000.0,65.0,Berlin  Wedding,2022-09-10,2023-06-10,,9.0,15.384615384615385
14,,2.0,06.08.2022,1090.0,55.0,Berlin  Neukölln,2022-09-08,,,,19.818181818181817
15,,,06.08.2022,85.0,45.0,Berlin  Neukölln,2022-08-10,2022-08-20,,0.0,1.8888888888888888
16,,2.0,02.08.2022,80.0,62.0,Berlin  Kreuzberg,2022-08-13,2022-09-21,,1.0,1.2903225806451613
17,,2.0,01.08.2022,90.0,65.0,Berlin  Alt-Treptow,2022-08-03,2022-08-10,,0.0,1.3846153846153846
18,,2.0,25.07.2022,35.0,50.0,Berlin  Berlin,2022-08-01,2022-08-25,,0.0,0.7
19,,2.0,22.07.2022,50.0,71.0,Berlin  Wedding,2022-08-01,2022-08-22,,0.0,0.704225352112676
20,,2.0,20.07.2022,50.0,71.0,Berlin  Wedding,2022-08-01,2022-08-22,,0.0,0.704225352112676
21,,2.0,20.07.2022,60.0,45.0,Berlin  Berlin,2022-07-22,2022-07-25,,0.0,1.3333333333333333
22,,,,,,,,,,,
0,,,22.04.2023,810.0,45.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,18.0
1,,,22.04.2023,770.0,40.0,Wohnungen von Spotahome*,2023-04-23,,,,19.25
2,,4.0,19.07.2022,3000.0,130.0,Berlin  Wedding,2023-06-01,,,,23.076923076923077
3,,2.0,18.07.2022,45.0,35.0,Berlin  Kreuzberg,2022-08-01,2022-08-08,,0.0,1.2857142857142858
4,,3.0,17.07.2022,50.0,12.0,Berlin  Mitte,2022-07-17,2022-08-01,,1.0,4.166666666666667
5,,2.0,17.07.2022,75.0,45.0,Berlin  Berlin,2022-07-19,2022-07-24,,0.0,1.6666666666666667
6,,4.0,16.07.2022,1200.0,125.0,Berlin  Weißensee,2022-07-16,2022-07-23,,0.0,9.6
7,,,11.07.2022,600.0,30.0,Berlin  Neukölln,2022-07-11,2022-08-31,,1.0,20.0
8,,2.0,10.07.2022,2350.0,80.0,Berlin  Mitte,2022-07-12,2022-07-28,,0.0,29.375
9,,35.0,10.07.2022,2150.0,145.0,Berlin  Berlin,2022-07-10,2022-12-31,,5.0,14.827586206896552
10,,,06.07.2022,730.0,50.0,Berlin  Mitte,2022-07-11,2022-08-08,,1.0,14.6
11,,2.0,04.07.2022,1141.0,70.0,Berlin  Karlshorst,2022-07-11,2022-08-18,,1.0,16.3
12,,2.0,02.07.2022,1100.0,48.0,Berlin  Weißensee,2022-08-01,2022-09-01,,1.0,22.916666666666668
13,,25.0,02.07.2022,800.0,59.0,Berlin  Baumschulenweg,2022-07-12,2022-08-10,,1.0,13.559322033898304
14,,2.0,01.07.2022,90.0,86.0,Berlin  Friedrichshain,2022-07-20,2022-07-25,,0.0,1.0465116279069768
15,,2.0,01.07.2022,1000.0,70.0,Berlin  Kreuzberg,2022-07-12,2022-08-03,,1.0,14.285714285714286
16,,,01.07.2022,750.0,30.0,Berlin  Köpenick,2022-07-10,2022-10-07,,3.0,25.0
17,,25.0,29.06.2022,1405.0,84.0,Berlin  Neukölln,2022-07-10,2022-08-14,,1.0,16.726190476190474
18,,2.0,26.06.2022,800.0,60.0,Berlin  Friedrichshain,2022-07-11,2022-08-10,,1.0,13.333333333333334
19,,2.0,25.06.2022,600.0,47.0,Berlin  Neukölln,2022-07-11,2022-07-31,,0.0,12.76595744680851
20,,2.0,18.06.2022,1100.0,86.0,Berlin  Wedding,2022-07-10,2022-08-12,,1.0,12.790697674418604
21,,2.0,17.06.2022,1100.0,60.0,Berlin  Moabit,2022-07-12,2023-01-31,,6.0,18.333333333333332
22,,,,,,,,,,,
0,,,22.04.2023,570.0,30.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,19.0
1,,,22.04.2023,530.0,30.0,Wohnungen von Spotahome*,2023-04-23,,,,17.666666666666668
2,,2.0,16.06.2022,40.0,71.0,Berlin  Neukölln,2022-06-18,2022-08-05,,2.0,0.5633802816901409
3,,2.0,15.06.2022,1200.0,60.0,Berlin  Kreuzberg,2022-07-12,2022-08-08,,1.0,20.0
4,,,13.06.2022,250.0,35.0,Berlin  Steglitz-Zehlendorf,2022-08-05,2022-08-13,,0.0,7.142857142857143
5,,,11.06.2022,720.0,32.0,Berlin  Neukölln,2022-07-11,2025-08-01,,37.0,22.5
6,,2.0,10.06.2022,75.0,75.0,Berlin  Charlottenburg,2022-07-09,2022-08-15,,1.0,1.0
7,,,08.06.2022,750.0,60.0,Berlin  Wedding,2022-07-09,2022-08-10,,1.0,12.5
8,,2.0,04.06.2022,195.0,45.0,Berlin  Friedrichshain,2022-07-09,2022-07-13,,0.0,4.333333333333333
9,,2.0,03.06.2022,1858.0,50.0,Berlin  Schöneberg,2022-07-12,2022-12-31,,5.0,37.16
10,,2.0,30.05.2022,1500.0,72.0,Berlin  Neukölln,2022-07-10,2022-08-08,,1.0,20.833333333333332
11,,2.0,29.05.2022,1390.0,55.0,Berlin  Charlottenburg-Wilmersdorf,2023-11-08,2023-12-01,,1.0,25.272727272727273
12,,3.0,27.05.2022,1615.0,70.0,Berlin  Halensee,2023-08-01,2023-12-01,,4.0,23.071428571428573
13,,1.0,25.05.2022,120.0,40.0,Berlin  Charlottenburg-Wilmersdorf,2022-06-01,2022-07-30,,1.0,3.0
14,,,22.05.2022,60.0,35.0,Berlin  Neukölln,2022-05-26,2022-05-31,,0.0,1.7142857142857142
15,,1.0,14.05.2022,477.0,45.0,Berlin  Neukölln,2021-11-19,,,,10.6
16,,2.0,10.05.2022,1290.0,45.0,Berlin  Charlottenburg-Wilmersdorf,2023-08-01,2025-12-30,,28.0,28.666666666666668
17,,,26.04.2022,50.0,45.0,Berlin  Britz,2022-05-05,2022-06-21,,1.0,1.1111111111111112
18,,2.0,16.04.2022,400.0,44.0,Berlin  Charlottenburg,2021-06-05,2023-12-31,,30.0,9.090909090909092
19,,,16.04.2022,20.0,30.0,Berlin  Lichterfelde,2022-04-16,2022-06-01,,2.0,0.6666666666666666
20,,2.0,09.04.2022,1300.0,48.0,Berlin  Reinickendorf,2021-09-29,,,,27.083333333333332
21,,4.0,15.03.2022,120.0,150.0,Berlin  Kreuzberg,2022-03-24,2022-03-27,,0.0,0.8
22,,,,,,,,,,,
0,,,22.04.2023,420.0,45.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,9.333333333333334
1,,,22.04.2023,390.0,40.0,Wohnungen von Spotahome*,2023-04-23,,,,9.75
2,,2.0,11.03.2022,845.0,85.0,Berlin  Kreuzberg,2022-04-12,2022-04-24,,0.0,9.941176470588236
3,,2.0,24.02.2022,70.0,60.0,Berlin  Neukölln,2022-02-25,2022-03-05,,1.0,1.1666666666666667
4,,2.0,21.02.2022,65.0,48.0,Berlin  Mitte,2022-02-28,2022-03-15,,1.0,1.3541666666666667
5,,,19.02.2022,1100.0,40.0,Berlin  Prenzlauer Berg,2019-04-27,2021-12-31,,32.0,27.5
6,,,19.02.2022,900.0,56.0,Berlin  Friedrichshain-Kreuzberg,2022-01-24,2022-02-22,,1.0,16.071428571428573
7,,2.0,08.02.2022,1250.0,58.0,Berlin  Friedrichshain,2021-06-10,2022-06-30,,12.0,21.551724137931036
8,,,07.02.2022,500.0,36.0,Berlin  Berlin,2022-02-07,2023-02-01,,12.0,13.88888888888889
9,,1.0,20.01.2022,20.0,36.0,Berlin  Wilmersdorf,2022-01-20,2022-03-16,,2.0,0.5555555555555556
10,,,07.01.2022,25.0,25.0,Berlin  Charlottenburg,2022-01-15,2022-03-18,,2.0,1.0
11,,1.0,03.01.2022,50.0,47.0,Berlin  Neukölln,2022-01-03,2022-01-31,,0.0,1.0638297872340425
12,,2.0,15.12.2021,800.0,50.0,Berlin  Friedrichshain-Kreuzberg,2021-12-20,2022-01-04,,1.0,16.0
13,,2.0,13.12.2021,50.0,50.0,Berlin  Friedrichshain,2021-12-13,2022-01-14,,1.0,1.0
14,,,13.12.2021,15.0,10.0,Berlin  Schöneberg,2021-12-22,2021-12-27,,0.0,1.5
15,,2.0,13.12.2021,800.0,80.0,Berlin  Gesundbrunnen Kreuzberg Schöneberg Fr...,2021-10-29,,,,10.0
16,,,12.12.2021,20.0,34.0,Berlin  Charlottenburg,2021-12-18,2021-12-28,,0.0,0.5882352941176471
17,,,12.12.2021,40.0,45.0,Berlin  Neukölln,2021-12-22,2022-01-02,,1.0,0.8888888888888888
18,,2.0,08.12.2021,780.0,66.0,Berlin  Rummelsburg,2021-10-27,2022-01-28,,3.0,11.818181818181818
19,,2.0,05.12.2021,1750.0,69.0,Berlin  Kreuzberg,2021-01-10,2021-03-15,,2.0,25.36231884057971
20,,2.0,04.12.2021,75.0,65.0,Berlin  Mitte,2021-12-04,2021-12-05,,0.0,1.1538461538461537
21,,3.0,27.11.2021,125.0,110.0,Berlin  Kreuzberg,2021-12-26,2022-03-01,,3.0,1.1363636363636365
22,,,,,,,,,,,
0,,,22.04.2023,270.0,35.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,7.714285714285714
1,,,22.04.2023,240.0,50.0,Wohnungen von Spotahome*,2023-04-23,,,,4.8
2,,3.0,16.11.2021,2200.0,96.0,Berlin  Alt Treptow,2021-01-04,2021-06-01,,5.0,22.916666666666668
3,,2.0,14.11.2021,50.0,60.0,Berlin  Schöneberg,2022-01-05,2022-01-14,,0.0,0.8333333333333334
4,,,11.11.2021,700.0,20.0,Berlin  Wedding,2021-09-16,2023-09-16,,24.0,35.0
5,,2.0,25.10.2021,50.0,95.0,Berlin  Friedrichshain-Kreuzberg,2021-10-30,2021-11-06,,1.0,0.5263157894736842
6,,3.0,01.10.2021,1280.0,115.0,Berlin  Neukölln,2021-07-02,,,,11.130434782608695
7,,2.0,11.08.2021,30.0,22.0,Berlin  Plänterwald,2021-08-11,2021-08-12,,0.0,1.3636363636363635
8,,2.0,05.08.2021,50.0,45.0,Berlin  Lichtenberg,2021-08-05,2021-08-15,,0.0,1.1111111111111112
9,,2.0,04.07.2021,88.0,46.0,Berlin  Prenzlauer Berg,2021-07-10,2021-08-01,,1.0,1.9130434782608696
10,,,01.07.2021,500.0,37.0,Berlin  Kreuzberg,2021-07-23,2021-08-06,,1.0,13.513513513513514
11,,1.0,01.07.2021,77.0,34.0,Berlin  Mitte,2021-07-01,2029-09-01,,98.0,2.264705882352941
12,,,23.06.2021,25.0,32.0,Berlin  Berlin,2021-06-23,2021-06-30,,0.0,0.78125
13,,2.0,22.06.2021,50.0,80.0,Berlin  Charlottenburg,2021-08-20,2021-08-27,,0.0,0.625
14,,2.0,16.06.2021,45.0,60.0,Berlin  Mitte,2021-07-06,2021-07-19,,0.0,0.75
15,,,11.06.2021,45.0,45.0,Berlin  Neukölln,2021-06-29,2021-07-08,,1.0,1.0
16,,2.0,07.06.2021,90.0,100.0,Berlin  Wedding,2021-06-10,2021-06-16,,0.0,0.9
17,,2.0,07.06.2021,50.0,56.0,Berlin  Berlin,2021-06-07,2021-12-31,,6.0,0.8928571428571429
18,,2.0,04.06.2021,55.0,53.0,Berlin  Prenzlauer Berg,2021-06-09,2021-06-18,,0.0,1.0377358490566038
19,,2.0,01.06.2021,70.0,70.0,Berlin  Moabit,2021-06-23,2021-07-01,,1.0,1.0
20,,2.0,01.06.2021,50.0,55.0,Berlin  Kreuzberg,2021-06-07,2021-06-18,,0.0,0.9090909090909091
21,,2.0,28.04.2021,45.0,70.0,Berlin  Neukölln,2021-05-02,2021-05-15,,0.0,0.6428571428571429
22,,,,,,,,,,,
0,,,22.04.2023,330.0,30.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,11.0
1,,,22.04.2023,330.0,45.0,Wohnungen von Spotahome*,2023-04-23,,,,7.333333333333333
2,,2.0,27.04.2021,695.0,68.0,Berlin  Neukölln,2021-05-01,,,,10.220588235294118
3,,3.0,12.04.2021,70.0,63.0,Berlin  Prenzlauer Berg,2021-06-25,2021-08-06,,2.0,1.1111111111111112
4,,2.0,11.03.2021,880.0,46.0,Berlin  Marzahn,2021-03-11,2025-05-01,,50.0,19.130434782608695
5,,,08.03.2021,20.0,20.0,Berlin  Mitte,2021-03-08,2023-09-01,,30.0,1.0
6,,,08.03.2021,35.0,35.0,Berlin  Friedrichshain,2021-03-13,2021-03-15,,0.0,1.0
7,,2.0,23.02.2021,460.0,70.0,Berlin  Lichtenberg,2021-02-26,2021-04-01,,2.0,6.571428571428571
8,,2.0,26.01.2021,70.0,25.0,Berlin  Prenzlauer Berg,2021-02-02,2021-02-28,,0.0,2.8
9,,4.0,28.12.2020,100.0,170.0,Berlin  Grünau,2021-01-01,2021-12-31,,11.0,0.5882352941176471
10,,4.0,28.12.2020,2590.0,108.0,Berlin  Wilmersdorf,2020-12-28,2022-01-01,,13.0,23.98148148148148
11,,1.0,14.12.2020,620.0,56.0,Berlin  Berlin,2020-01-15,,,,11.071428571428571
12,,3.0,20.11.2020,49.0,70.0,Berlin  Berlin,2021-06-01,2022-12-01,,18.0,0.7
13,,1.0,16.11.2020,40.0,50.0,Berlin  Wedding,2020-11-24,2020-11-29,,0.0,0.8
14,,,02.11.2020,40.0,24.0,Berlin  Friedrichshain,2020-11-02,2020-12-31,,1.0,1.6666666666666667
15,,2.0,24.10.2020,15.0,40.0,Berlin  Frohnau,2020-11-01,2020-12-12,,1.0,0.375
16,,,15.10.2020,67.0,36.0,Berlin  Kreuzberg,2020-10-15,2020-10-31,,0.0,1.8611111111111112
17,,2.0,14.10.2020,1085.0,57.0,Berlin  Neukölln,2020-12-05,2021-03-01,,3.0,19.035087719298247
18,,,05.10.2020,350.0,35.0,Berlin  berlin,2020-10-22,2020-11-25,,1.0,10.0
19,,,05.10.2020,40.0,35.0,Berlin  Neukölln,2020-10-12,2020-10-19,,0.0,1.1428571428571428
20,,2.0,01.10.2020,30.0,57.0,Berlin  Ok,2020-10-01,2021-01-31,,3.0,0.5263157894736842
21,,2.0,29.09.2020,65.0,68.0,Berlin  Neukölln,2020-10-04,2020-10-16,,0.0,0.9558823529411765
22,,,,,,,,,,,
