Data ID,Link,Posting Date,City,Address,Pure Rent,Service Charge,Other Charge,Total cost,Size,Date From,Date To,DataFrame,Deposit,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
10007589,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.10007589.html,25.04.2023,Zimmervon HousingAnywhere*,Muster Str. 1,790,,,,24,2023-04-26,,20230424,,,32.91666667,25.04.2023-790.0-32.916666666666664 Zimmervon HousingAnywhere*,Berlin,,52.5170365,13.3888599
9767916,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.9767916.html,25.04.2023,Zimmervon Spotahome*,Muster Str. 1,730,,,,20,2023-04-26,,20230424,,,36.5,25.04.2023-730.0-36.5 Zimmervon Spotahome*,Berlin,,52.5170365,13.3888599
5794178,www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz.5794178.html,25.04.2023,Berlin,Muster Str. 1,1200,,,,15,2023-05-01,,20230424,,,80,25.04.2023-1200.0-80.0 Berlin,Kreuzberg,,52.4976443,13.411914
10025838,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.10025838.html,25.04.2023,Berlin,Muster Str. 1,1300,,,,25,2023-05-01,,20230424,,,52,25.04.2023-1300.0-52.0 Berlin,Friedrichshain,,52.5122154,13.4502904
9933318,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.9933318.html,25.04.2023,Berlin,Muster Str. 1,460,,,,17,2023-04-25,2023-09-29,20230424,,5,27.05882353,25.04.2023-460.0-27.058823529411764 Berlin,Steglitz,2023-09,52.4572569,13.3222865
9967201,www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz.9967201.html,25.04.2023,Berlin,Muster Str. 1,550,,,,21,2023-04-27,,20230424,,,26.19047619,25.04.2023-550.0-26.19047619047619 Berlin,Prenzlauer Berg,,52.5398466,13.4285652
9128742,www.wg-gesucht.de/wg-zimmer-in-Berlin-Zehlendorf.9128742.html,25.04.2023,Berlin,Muster Str. 1,1300,,,,15,2023-05-01,,20230424,,,86.66666667,25.04.2023-1300.0-86.66666666666667 Berlin,Prenzlauer Berg,,52.5398466,13.4285652
9961003,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.9961003.html,25.04.2023,Berlin,Muster Str. 1,890,,,,15,2023-04-24,2023-08-31,20230424,,4,59.33333333,25.04.2023-890.0-59.333333333333336 Berlin,Steglitz,2023-08,52.4572569,13.3222865
6787997,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mitte.6787997.html,25.04.2023,Berlin,Muster Str. 1,588,,,,22,2023-06-01,,20230424,,,26.72727273,25.04.2023-588.0-26.727272727272727 Berlin,Zehlendorf,,52.4343217,13.2589298
10024036,www.wg-gesucht.de/wg-zimmer-in-Berlin.10024036.html,25.04.2023,Berlin,Muster Str. 1,1300,,,,15,2023-05-01,,20230424,,,86.66666667,25.04.2023-1300.0-86.66666666666667 Berlin,Prenzlauer Berg,,52.5398466,13.4285652
9764465,www.wg-gesucht.de/wg-zimmer-in-Berlin-Gesundbrunnen.9764465.html,25.04.2023,Berlin,Muster Str. 1,550,,,,20,2023-04-29,2023-06-30,20230424,,2,27.5,25.04.2023-550.0-27.5 Berlin,Mitte,2023-06,52.5178855,13.4040601
9894452,www.wg-gesucht.de/wg-zimmer-in-Berlin-Reinickendorf.9894452.html,25.04.2023,Berlin,Muster Str. 1,610,,,,16,2023-05-01,,20230424,,,38.125,25.04.2023-610.0-38.125 Berlin,Berlin,,52.5170365,13.3888599
9516221,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.9516221.html,25.04.2023,Berlin,Muster Str. 1,1250,,,,22,2023-04-25,,20230424,,,56.81818182,25.04.2023-1250.0-56.81818181818182 Berlin,Gesundbrunnen,,52.5509201,13.384846
9997900,www.wg-gesucht.de/wg-zimmer-in-Berlin.9997900.html,25.04.2023,Berlin,Muster Str. 1,1000,,,,22,2023-06-01,,20230424,,,45.45454545,25.04.2023-1000.0-45.45454545454545 Berlin,Reinickendorf,,52.6047631,13.2952872
9196123,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.9196123.html,25.04.2023,Berlin,Muster Str. 1,350,,,,19,2023-05-16,2023-10-30,20230424,,5,18.42105263,25.04.2023-350.0-18.42105263157895 Berlin,Friedrichshain,2023-10,52.5122154,13.4502904
9890215,www.wg-gesucht.de/wg-zimmer-in-Berlin-Gesundbrunnen.9890215.html,25.04.2023,Berlin,Muster Str. 1,1250,,,,22,2023-05-15,,20230424,,,56.81818182,25.04.2023-1250.0-56.81818181818182 Berlin,Berlin,,52.5170365,13.3888599
9801905,www.wg-gesucht.de/wg-zimmer-in-Berlin-Pankow.9801905.html,25.04.2023,Berlin,Muster Str. 1,1300,,,,30,2023-05-01,,20230424,,,43.33333333,25.04.2023-1300.0-43.333333333333336 Berlin,Friedrichshain,,52.5122154,13.4502904
10030462,www.wg-gesucht.de/wg-zimmer-in-Berlin.10030462.html,25.04.2023,Berlin,Muster Str. 1,1250,,,,22,2023-05-01,,20230424,,,56.81818182,25.04.2023-1250.0-56.81818181818182 Berlin,Gesundbrunnen,,52.5509201,13.384846
10019752,www.wg-gesucht.de/wg-zimmer-in-Berlin-Pankow.10019752.html,25.04.2023,Berlin,Muster Str. 1,1300,,,,15,2023-05-01,,20230424,,,86.66666667,25.04.2023-1300.0-86.66666666666667 Berlin,Pankow,,52.5979174,13.435316
10030139,www.wg-gesucht.de/wg-zimmer-in-Berlin.10030139.html,25.04.2023,Berlin,Muster Str. 1,900,,,,10,2023-05-04,,20230424,,,90,25.04.2023-900.0-90.0 Berlin,Berlin,,52.5170365,13.3888599
